States/UTs,Total Number of  Persons Killed in Road Accidents on State Highways during 2017,Total Number of  Persons Killed in Road Accidents on State Highways during 2018,Total Number of  Persons Killed in Road Accidents on State Highways during 2019,Total Number of  Persons Killed in Road Accidents on State Highways during 2020 - Number,Total Number of  Persons Killed in Road Accidents on State Highways during 2020 - Rank
Andhra Pradesh,1812,1897,2036,1704,8
Arunachal Pradesh,34,58,44,22,24
Assam,557,681,659,635,17
Bihar,1414,1474,1449,1409,9
Chhattisgarh,964,1068,1166,956,13
Goa,45,25,34,30,23
Gujarat,2376,2477,2226,1908,6
Haryana,1369,1486,1147,914,15
Himachal Pradesh,257,241,220,163,19
Jammu and Kashmir,102,108,89,68,21
Jharkhand,1035,1139,1019,935,14
Karnataka,3102,3058,3178,2899,4
Kerala,837,876,979,629,18
Madhya Pradesh,2973,3180,3073,2919,3
Maharashtra,3622,3446,3344,2971,2
Manipur,29,30,35,16,28
Meghalaya,51,6,20,13,30
Mizoram,15,14,25,22,24
Nagaland,7,13,4,13,30
Odisha,1552,1475,1503,1179,10
Punjab,1087,1418,1302,1112,11
Rajasthan,1973,1925,2041,1802,7
Sikkim,27,45,22,16,28
Tamil Nadu,5691,4285,3418,2893,5
Telangana,1357,1165,902,759,16
Tripura,61,72,70,67,22
Uttarakhand,179,266,253,146,20
Uttar Pradesh,5962,7179,6816,5825,1
West Bengal,1294,1435,1341,1085,12
Andaman and Nicobar Islands,9,6,5,3,32
Chandigarh,0,0,0,0,33
Dadra and Nagar Haveli,0,22,28,18,26
Daman and Diu,0,0,4,NA,NA
Delhi,0,0,0,0,33
Lakshadweep,0,0,0,0,33
Puducherry,19,10,20,17,27
Total ,39812,40580,38472,33148,NA
